Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment ",Valve ,Não,5053613,Very Positive,3,Não,Sim,21 Aug 2012,28,1,0,,,,,Free To Play
Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal ,Ubisoft ,Não,672417,Very Positive,1,Sim,Sim,1 Dec 2015,16,8,15,INTEL-CORE-I5-2500K,8,NVIDIA-GEFORCE-GTX-670,61,"59,99"
Phasmophobia,Kinetic Games ,Kinetic Games ,Não,145739,Overwhelmingly Positive,1,Não,Sim,18 Sep 2020,25,1,0,outros,8,NVIDIA-GTX-970,18,"27,89"
Among Us,Innersloth ,Innersloth ,Não,381261,Overwhelmingly Positive,1,Não,Sim,16 Nov 2018,6,0,0,,,,,"10,89"
Hades,Supergiant Games ,Supergiant Games ,Sim,86806,Overwhelmingly Positive,2,Sim,Não,17 Sep 2020,10,1,10,outros,8,outros,20,"47,49"
Dead by Daylight,Behaviour Interactive Inc. ,Behaviour Interactive Inc. ,Não,294141,Very Positive,1,Não,Sim,14 Jun 2016,15,3,17,INTEL-CORE-I3-4170,8,GEFORCE-760,50,"36,99"
Grand Theft Auto V,Rockstar North ,Rockstar Games ,Não,869213,Very Positive,1,Sim,Sim,14 Apr 2015,13,1,13,INTEL-CORE-I5-3470,8,NVIDIA-GTX-660,72,"69,99"
Fall Guys: Ultimate Knockout,Mediatonic ,Devolver Digital ,Sim,282556,Very Positive,1,Não,Sim,3 Aug 2020,11,0,10,,,,,"37,99"
The Elder Scrolls® Online,Zenimax Online Studios ,Bethesda Softworks ,Não,72658,Very Positive,2,Sim,Sim,4 Apr 2014,4,3,4,outros,8,outros,85,"294,98"
PLAYERUNKNOWN'S BATTLEGROUNDS,"KRAFTON, Inc. ","KRAFTON, Inc. ",Não,1346258,Mixed,1,Não,Sim,21 Dec 2017,17,0,0,INTEL-CORE-I5-6600K,16,NVIDIA-GEFORCE-GTX-1060,30,"75,00"
Dying Light,Techland ,Techland Publishing ,Não,151327,Overwhelmingly Positive,3,Não,Não,26 Jan 2015,17,7,17,outros,8,outros,,"157,27"
Sea of Thieves,Rare Ltd ,Xbox Game Studios ,Não,59339,Overwhelmingly Positive,1,Sim,Sim,3 Jun 2020,12,1,12,outros,8,NVIDIA-GEFORCE-GTX-770,50,"89,99"
Monster Hunter: World,"CAPCOM Co., Ltd. ","CAPCOM Co., Ltd. ",Não,176327,Mixed,1,Sim,Sim,9 Aug 2018,13,6,13,outros,8,outros,48,"69,99"
eFootball PES 2021 SEASON UPDATE,Konami Digital Entertainment ,Konami Digital Entertainment ,Não,7346,Very Positive,1,Sim,Sim,15 Sep 2020,15,12,0,INTEL-CORE-I7-3770,8,NVIDIA-GTX-760,40,"99,90"
Raft,Redbeet Interactive ,Axolot Games ,Sim,71091,Overwhelmingly Positive,1,Sim,Sim,23 May 2018,12,1,0,INTEL-CORE-I5-2,8,GEFORCE-GTX-700,6,"36,99"
Euro Truck Simulator 2,SCS Software ,SCS Software ,Sim,274946,Overwhelmingly Positive,3,Sim,Não,18 Oct 2012,24,0,0,outros,6,GEFORCE-GTX-760,,"39,99"
FINAL FANTASY XIV Online,Square Enix ,Square Enix ,Não,26009,Very Positive,1,Sim,Sim,18 Feb 2014,4,4,4,outros,8,outros,60,"52,99"
Rust,Facepunch Studios ,Facepunch Studios ,Sim,393743,Very Positive,2,Não,Sim,8 Feb 2018,25,13,13,INTEL-CORE-I7-4790K,16,outros,20,"75,49"
Stardew Valley,ConcernedApe ,ConcernedApe ,Sim,241731,Overwhelmingly Positive,3,Sim,Sim,26 Feb 2016,12,0,0,,,,,"24,99"
Team Fortress 2,Valve ,Valve ,Não,733040,Very Positive,3,Não,Sim,10 Oct 2007,26,1,0,outros,1,,15,Free To Play
Don't Starve Together,Klei Entertainment ,Klei Entertainment ,Sim,144155,Overwhelmingly Positive,3,Sim,Sim,21 Apr 2016,2,1,0,,,,,"27,99"
STAR WARS™ Battlefront™ II,DICE ,Electronic Arts ,Não,8615,Very Positive,1,Sim,Sim,16 Nov 2017,11,8,0,outros,16,outros,60,"159,00"
DayZ,Bohemia Interactive ,Bohemia Interactive ,Não,207661,Very Positive,1,Não,Sim,13 Dec 2018,12,0,12,INTEL-CORE-I5-6600K,12,NVIDIA-GEFORCE-GTX-1060,25,"78,99"
Terraria,Re-Logic ,Re-Logic ,Sim,504980,Overwhelmingly Positive,3,Sim,Sim,16 May 2011,9,0,0,outros,4,,,"19,99"
The Forest,Endnight Games Ltd ,Endnight Games Ltd ,Não,186224,Overwhelmingly Positive,1,Sim,Não,30 Apr 2018,16,1,0,outros,4,NVIDIA-GEFORCE-GTX-560,5,"37,99"
American Truck Simulator,SCS Software ,SCS Software ,Sim,52593,Overwhelmingly Positive,3,Sim,Sim,2 Feb 2016,24,0,0,outros,6,GEFORCE-GTX-760,4,"56,00"
Cities: Skylines,Colossal Order Ltd. ,Paradox Interactive ,Não,104741,Overwhelmingly Positive,3,Sim,Não,10 Mar 2015,9,0,9,INTEL-CORE-I5-3470,6,NVIDIA-GEFORCE-GTX-660,4,"55,99"
Battlefield 4™,DICE ,Electronic Arts ,Não,6487,Very Positive,1,Sim,Sim,29 Oct 2013,12,9,0,outros,8,outros,30,"356,50"
F1® 2020,Codemasters ,Codemasters ,Não,10593,Overwhelmingly Positive,1,Sim,Sim,9 Jul 2020,11,8,11,INTEL-CORE-I5-9600K,16,NVIDIA-GTX-1660-TI,80,"109,99"
Age of Empires II: Definitive Edition,"Forgotten Empires, Tantalus Media, Wicked Witch ",Xbox Game Studios ,Não,56299,Overwhelmingly Positive,1,Sim,Sim,14 Nov 2019,14,8,14,outros,8,outros,30,"36,99"
theHunter: Call of the Wild™,Expansive Worlds ,Expansive Worlds ,Não,51060,Very Positive,1,Sim,Sim,16 Feb 2017,10,1,10,outros,8,NVIDIA-GTX-760,36,"37,99"
Tabletop Simulator,Berserk Games ,Berserk Games ,Não,22253,Overwhelmingly Positive,3,Sim,Sim,5 Jun 2015,1,0,0,,,,,"36,99"
Deep Rock Galactic,Ghost Ship Games ,Coffee Stain Publishing ,Não,53871,Overwhelmingly Positive,1,Sim,Sim,13 May 2020,15,1,15,outros,8,NVIDIA-970,3,"69,60"
Age of Empires III: Definitive Edition,"Tantalus Media, Forgotten Empires ",Xbox Game Studios ,Não,10909,Mostly Positive,1,Sim,Sim,15 Oct 2020,13,7,13,outros,16,GEFORCE-GTX-980,42,"36,99"
Hollow Knight,Team Cherry ,Team Cherry ,Sim,108887,Overwhelmingly Positive,3,Sim,Não,24 Feb 2017,10,10,10,outros,8,GEFORCE-GTX-560,9,"27,99"
Frostpunk,11 bit studios ,11 bit studios ,Não,47901,Very Positive,1,Sim,Não,24 Apr 2018,12,1,12,outros,8,GEFORCE-970,8,"81,66"
Farming Simulator 19,Giants Software ,Focus Home Interactive ,Não,29704,Overwhelmingly Positive,2,Sim,Sim,19 Nov 2018,18,0,0,,,,,"69,90"
Left 4 Dead 2,Valve ,Valve ,Não,293340,Overwhelmingly Positive,3,Sim,Sim,16 Nov 2009,28,5,0,INTEL-CORE-2-DUO,2,NVIDIA-7600,13,"20,69"
ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC ",Studio Wildcard ,Sim,303914,Very Positive,3,Sim,Sim,27 Aug 2017,21,21,0,,,,,"93,99"
Planet Zoo,Frontier Developments ,Frontier Developments  ,Não,29439,Very Positive,1,Sim,Não,5 Nov 2019,18,11,18,outros,16,NVIDIA-GEFORCE-GTX-1070,16,"100,00"
Cuphead,Studio MDHR Entertainment Inc. ,Studio MDHR Entertainment Inc. ,Sim,56883,Overwhelmingly Positive,2,Sim,Sim,29 Sep 2017,12,0,0,,,,,"36,99"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,CyberConnect2 Co. Ltd. ,BANDAI NAMCO Entertainment ,Não,29444,Very Positive,1,Sim,Sim,4 Feb 2016,12,4,12,,,,,"97,00"
PAYDAY 2,OVERKILL - a Starbreeze Studio. ,Starbreeze Publishing AB ,Não,290795,Overwhelmingly Positive,2,Sim,Sim,13 Aug 2013,9,1,9,,,,,"19,99"
